,Title,Published_date,Views,Likes,Comments,Month
155,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,91667,2790,603,Apr
156,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,134693,3846,161,Apr
157,When Data Science Goes Wrong,2020-03-30,1764,106,32,Mar
158,How to ULTRALEARN Data Science,2020-03-27,59856,3745,166,Mar
159,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4239,265,50,Mar
160,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,11736,436,45,Mar
161,The Secret Data Scientists Don't Want You to Know,2020-03-16,10262,1110,107,Mar
162,The 5 Stages of Learning Data Science,2020-03-13,16790,1260,78,Mar
163,Can You Learn Data Science Without a Computer?,2020-03-11,1368,102,14,Mar
164,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,329491,20559,613,Mar
165,The Data Science Projects that Got Me a Job,2020-03-06,38035,1328,41,Mar
166,How to Integrate Data Science into Your Business,2020-03-02,3176,120,18,Mar
167,The Problem with Data Science,2020-02-28,3649,150,21,Feb
168,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1082,45,16,Feb
169,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,102062,2072,92,Feb
170,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,295726,16708,512,Feb
171,Data Science Advice for College Students,2020-02-14,67368,1928,195,Feb
172,Avoid These Data Science Resume Mistakes!,2020-02-10,26093,1167,58,Feb
173,Data Science Explained with ... Cooking?,2020-02-07,4595,283,45,Feb
174,The 4 Types of Sports Analytics Projects,2020-02-03,24042,828,60,Feb
175,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,538,18,13,Jan
176,How I Learned Data Science,2020-01-27,91321,2609,210,Jan
177,What is Sports Analytics Really?,2020-01-20,17685,537,73,Jan
178,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,104453,2963,584,Jan
179,How To Learn Programming for Data Science [3 Steps],2020-01-13,28793,1925,98,Jan
180,Data Science Fundamentals: SQL Queries,2020-01-10,5727,203,34,Jan
181,Questions You Should Ask Your Data Science Interviewers,2020-01-06,2749,137,14,Jan
182,The 9 Books That Changed My Perspective in 2019,2020-01-03,3246,178,23,Jan
183,The Data Science Interview: What to Expect,2019-12-30,7638,359,32,Dec
184,5 Data Science Resolutions for 2020,2019-12-27,470,25,12,Dec
185,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,14053,502,89,Dec
186,Collision Course: Sports Betting + Data Science,2019-12-20,13745,417,26,Dec
187,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,99218,2905,214,Dec
188,5 Sports Analytics Books to Get You Started,2019-12-13,9164,340,55,Dec
189,Math Needed for Mastering Data Science,2019-12-09,53620,2755,225,Dec
190,The 5 Stages of Data Science Adoption,2019-12-06,1208,66,17,Dec
191,How YOU Can Land a Sports Analytics Job,2019-12-02,60788,2748,222,Dec
192,Data Science Fundamentals: Linear Regression,2019-11-29,5737,159,41,Nov
193,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,914,45,12,Nov
194,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5213,243,26,Nov
195,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,44200,1693,80,Nov
196,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5812,136,31,Nov
197,Why Selling Is An Important Data Science Skill,2019-11-04,1551,74,13,Nov
198,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2587,69,18,Oct
199,Why is Balance Important in Data Science?,2019-10-16,671,32,13,Oct
200,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11168,564,54,Sep
201,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3170,103,29,Sep
202,6 Habits of Successful Data Scientists,2019-09-13,1956,89,17,Sep
203,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,3558,88,9,Sep
204,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,513,24,29,Aug
205,Is Data Science Right For You?,2019-08-18,48019,1120,109,Aug
206,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,13257,366,53,Aug
207,How To Get Data Science Experience (Without a Job),2019-08-08,27804,1326,75,Aug
208,Take Your Data Science Projects From Good to Great,2019-08-05,1538,106,11,Aug
209,The Projects You Should Do To Get A Data Science Job,2019-07-30,142906,5517,252,Jul
